DATE;COMPANY;COMPANY;TO;FROM;TEMPERATURE;SKY INFORMATION;WIND SPEED;WIND ANGLE;VISIBILITY;SCHEDULED TIME;LANDED TIME;CLASS
2019-10-25;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;11 °C;Drizzle. Fog.;17 km/h;270;2 km;18:00:00;17:38:00;Early (-inf, -15) min.
2019-10-25;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;11 °C;Drizzle. Fog.;17 km/h;270;2 km;18:05:00;18:00:00;On Time [-5, 5] min.
2019-10-25;AirBaltic;AirBaltic;BerlynasTXL;VilniusVNO;11 °C;Drizzle. Fog.;13 km/h;250;4 km;18:10:00;18:08:00;On Time [-5, 5] min.
2019-10-25;WizzAir;WizzAir;DortmundasDTM;VilniusVNO;11 °C;Drizzle. Fog.;13 km/h;250;4 km;18:15:00;18:25:00;Delay (5, 15] min.
2019-10-25;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;11 °C;Drizzle. Fog.;13 km/h;250;4 km;18:20:00;18:33:00;Delay (5, 15] min.
2019-10-25;LOTPolishAirlines;LOT-PolishAirlines;TalinasTLL;VilniusVNO;11 °C;Fog.;15 km/h;240;3 km;18:50:00;18:43:00;Early [-15,-5) min.
2019-10-25;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;11 °C;Fog.;15 km/h;240;3 km;19:05:00;18:56:00;Early [-15,-5) min.
2019-10-25;Ryanair;Ryanair;MadridasMAD;VilniusVNO;11 °C;Fog.;13 km/h;240;3 km;19:10:00;18:59:00;Early [-15,-5) min.
2019-10-25;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;11 °C;Fog.;13 km/h;240;3 km;19:10:00;19:04:00;Early [-15,-5) min.
2019-10-25;WizzAir;WizzAir;ParyþiusBVA;VilniusVNO;11 °C;Fog.;13 km/h;240;3 km;19:15:00;19:29:00;Delay (5, 15] min.
2019-10-25;WizzAir;WizzAir;OslasTRF;VilniusVNO;11 °C;Fog.;13 km/h;240;3 km;19:15:00;19:05:00;Early [-15,-5) min.
2019-10-25;GetJetAirlines;GetJetAirlines;TenerifëTFS;VilniusVNO;11 °C;Fog.;9 km/h;240;3 km;19:55:00;19:14:00;Early (-inf, -15) min.
2019-10-25;Belavia;Belavia;MinskasMSQ;VilniusVNO;11 °C;Fog.;13 km/h;230;3 km;20:10:00;20:16:00;Delay (5, 15] min.
2019-10-25;FreebirdAirlines;FreebirdAirlines;AntalijaAYT;VilniusVNO;11 °C;Fog.;13 km/h;230;3 km;20:20:00;20:13:00;Early [-15,-5) min.
2019-10-25;AirBaltic;AirBaltic;TalinasTLL;VilniusVNO;11 °C;Fog.;13 km/h;220;3 km;20:45:00;20:54:00;Delay (5, 15] min.
2019-10-25;Ryanair;Ryanair;MilanasBergamo;VilniusVNO;11 °C;Fog.;13 km/h;220;3 km;20:50:00;20:38:00;Early [-15,-5) min.
2019-10-25;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;11 °C;Fog.;13 km/h;220;3 km;20:55:00;21:05:00;Delay (5, 15] min.
2019-10-25;Ryanair;Ryanair;DublinasDUB;KaunasKUN;11 °C;Drizzle. Fog.;9 km/h;210;3 km;22:45:00;22:33:00;Early [-15,-5) min.
2019-10-25;Ryanair;Ryanair;Londonas(Stanstedas)STN;KaunasKUN;11 °C;Drizzle. Fog.;9 km/h;210;3 km;22:50:00;22:26:00;Early (-inf, -15) min.
2019-10-25;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;10 °C;Fog.;13 km/h;210;2 km;22:55:00;22:36:00;Early (-inf, -15) min.
2019-10-25;WizzAir;WizzAir;BilundasBLL;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:10:00;23:06:00;On Time [-5, 5] min.
2019-10-25;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:35:00;23:22:00;Early [-15,-5) min.
2019-10-25;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:35:00;23:39:00;On Time [-5, 5] min.
2019-10-25;AirBaltic;AirBaltic;MiunchenasMUC;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:40:00;23:43:00;On Time [-5, 5] min.
2019-10-25;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:40:00;23:34:00;Early [-15,-5) min.
2019-10-25;Ryanair;Ryanair;LondonasSTN;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:45:00;23:32:00;Early [-15,-5) min.
2019-10-25;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;11 °C;Fog.;15 km/h;230;3 km;23:59:00;23:46:00;Early [-15,-5) min.
2019-10-26;AirBaltic;AirBaltic;Ryga;PalangaPLQ;13 °C;Passing clouds.;11 km/h;270;20 km;00:25:00;00:27:00;On Time [-5, 5] min.
2019-10-26;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;11 °C;Fog.;15 km/h;240;3 km;00:45:00;00:59:00;Delay (5, 15] min.
2019-10-26;LOTPolishAirlines;LOTPolishAirlines;VarðuvaWAW;KaunasKUN;12 °C;Fog.;11 km/h;230;4 km;00:45:00;00:45:00;On Time [-5, 5] min.
2019-10-26;LOTPolishAirlines;LOTPolishAirlines;VarðuvaWAW;KaunasKUN;12 °C;Fog.;11 km/h;230;4 km;00:45:00;02:27:00;Delay (30, inf) min.
2019-10-26;SAS;SAS;Kopenhaga;PalangaPLQ;13 °C;Passing clouds.;11 km/h;270;20 km;00:55:00;00:50:00;On Time [-5, 5] min.
2019-10-26;WizzAir;WizzAir;DonkasterisDSA;VilniusVNO;11 °C;Fog.;11 km/h;270;4 km;02:10:00;02:16:00;Delay (5, 15] min.
2019-10-26;WizzAir;WizzAir;LondonasLTN;VilniusVNO;11 °C;Fog.;11 km/h;270;4 km;02:20:00;02:00:00;Early (-inf, -15) min.
2019-10-26;GetJetAirlines;GetJetAirlines;Djerba;VilniusVNO;10 °C;Fog.;13 km/h;220;3 km;04:30:00;03:37:00;Early (-inf, -15) min.
