DATE;COMPANY;COMPANY;TO;FROM;TEMPERATURE;SKY INFORMATION;WIND SPEED;WIND ANGLE;VISIBILITY;SCHEDULED TIME;LANDED TIME;CLASS
2019-11-15;SAS;SAS;Kopenhaga;PalangaPLQ;8 °C;Low clouds.;6 km/h;100;20 km;14:35:00;14:29:00;Early [-15,-5) min.
2019-11-15;AirBaltic;AirBaltic;Ryga;PalangaPLQ;8 °C;Low clouds.;6 km/h;100;20 km;14:45:00;14:46:00;On Time [-5, 5] min.
2019-11-15;Ryanair;Ryanair;KopenhagaCPH;KaunasKUN;8 °C;Mostly cloudy.;9 km/h;60;7 km;14:50:00;14:54:00;On Time [-5, 5] min.
2019-11-15;Ryanair;Ryanair;BristolisBRS;KaunasKUN;8 °C;Mostly cloudy.;9 km/h;60;7 km;15:05:00;14:56:00;Early [-15,-5) min.
2019-11-15;Ryanair;Ryanair;KijevasKBP;VilniusVNO;6 °C;Fog.;11 km/h;90;5 km;15:15:00;14:39:00;Early (-inf, -15) min.
2019-11-15;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;6 °C;Fog.;11 km/h;90;5 km;15:15:00;15:07:00;Early [-15,-5) min.
2019-11-15;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;6 °C;Fog.;11 km/h;90;5 km;15:25:00;15:13:00;Early [-15,-5) min.
2019-11-15;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;16:15:00;15:58:00;Early (-inf, -15) min.
2019-11-15;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;16:15:00;16:17:00;On Time [-5, 5] min.
2019-11-15;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;16:20:00;16:19:00;On Time [-5, 5] min.
2019-11-15;BrusselsAirlines;BrusselsAirlines;BriuselisBRU;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;17:25:00;17:44:00;Delay (15,30] min.
2019-11-15;WizzAir;WizzAir;DortmundasDTM;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;17:30:00;17:35:00;On Time [-5, 5] min.
2019-11-15;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;6 °C;Fog.;11 km/h;100;5 km;17:50:00;17:20:00;Early (-inf, -15) min.
2019-11-15;Finnair;Finnair;HelsinkisHEL;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:05:00;18:04:00;On Time [-5, 5] min.
2019-11-15;WizzAir;WizzAir;LvovasLWO;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:05:00;18:34:00;Delay (15,30] min.
2019-11-15;AirBaltic;AirBaltic;BerlynasTXL;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:10:00;17:58:00;Early [-15,-5) min.
2019-11-15;GetJetAirlines;GetJetAirlines;ÐarmelÐeichasSSH;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:15:00;17:50:00;Early (-inf, -15) min.
2019-11-15;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:20:00;18:11:00;Early [-15,-5) min.
2019-11-15;ScandinavianAirlines;ScandinavianAirlines;StokholmasARN;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:25:00;18:23:00;On Time [-5, 5] min.
2019-11-15;GetJetAirlines;GetJetAirlines;FarasFAO;VilniusVNO;6 °C;Fog.;9 km/h;100;5 km;18:30:00;18:01:00;Early (-inf, -15) min.
2019-11-15;Belavia;Belavia;MinskasMSQ;VilniusVNO;6 °C;Fog.;9 km/h;110;5 km;19:10:00;19:17:00;Delay (5, 15] min.
2019-11-15;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;6 °C;Fog.;9 km/h;110;5 km;19:10:00;19:09:00;On Time [-5, 5] min.
2019-11-15;NorvegianAirShuttle;NorvegianAirShuttle;StokholmasARN;VilniusVNO;6 °C;Fog.;9 km/h;110;5 km;19:15:00;19:31:00;Delay (15,30] min.
2019-11-15;WizzAir;WizzAir;OslasTRF;VilniusVNO;6 °C;Fog.;9 km/h;110;5 km;19:25:00;19:01:00;Early (-inf, -15) min.
2019-11-15;AirBaltic;AirBaltic;TalinasTLL;VilniusVNO;5 °C;Overcast.;11 km/h;110;6 km;20:55:00;20:52:00;On Time [-5, 5] min.
2019-11-15;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;5 °C;Overcast.;11 km/h;110;6 km;20:55:00;20:55:00;On Time [-5, 5] min.
2019-11-15;GetJetAirlines;GetJetAirlines;TenerifëTFS;VilniusVNO;5 °C;Overcast.;13 km/h;130;6 km;21:05:00;20:38:00;Early (-inf, -15) min.
2019-11-15;null;null;VienaVIE;VilniusVNO;5 °C;Overcast.;13 km/h;130;6 km;21:15:00;21:22:00;Delay (5, 15] min.
2019-11-15;Ryanair;Ryanair;Londonas(Lutonas)LTN;KaunasKUN;7 °C;Fog.;11 km/h;120;5 km;22:05:00;22:07:00;On Time [-5, 5] min.
2019-11-15;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;5 °C;Fog.;15 km/h;130;5 km;22:25:00;22:18:00;Early [-15,-5) min.
2019-11-15;Ryanair;Ryanair;DublinasDUB;KaunasKUN;7 °C;Fog.;11 km/h;120;5 km;22:30:00;22:33:00;On Time [-5, 5] min.
2019-11-15;Ryanair;Ryanair;AmanasAMM;VilniusVNO;5 °C;Low clouds.;13 km/h;130;6 km;22:45:00;23:57:00;Delay (30, inf) min.
2019-11-15;ScandinavianAirlines;ScandinavianAirlines;StokholmasARN;VilniusVNO;5 °C;Low clouds.;11 km/h;130;6 km;23:15:00;23:23:00;Delay (5, 15] min.
2019-11-15;Ryanair;Ryanair;MaltaMLA;VilniusVNO;5 °C;Low clouds.;11 km/h;130;6 km;23:20:00;23:01:00;Early (-inf, -15) min.
2019-11-15;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;5 °C;Low clouds.;11 km/h;130;6 km;23:30:00;23:34:00;On Time [-5, 5] min.
2019-11-15;AirBaltic;AirBaltic;MiunchenasMUC;VilniusVNO;5 °C;Low clouds.;15 km/h;130;6 km;23:35:00;23:38:00;On Time [-5, 5] min.
2019-11-15;LOTPolishAirlines;LOT-PolishAirlines;LondonasLCY;VilniusVNO;5 °C;Low clouds.;15 km/h;130;6 km;23:40:00;23:30:00;Early [-15,-5) min.
2019-11-15;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;5 °C;Low clouds.;15 km/h;130;6 km;23:45:00;23:55:00;Delay (5, 15] min.
2019-11-16;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;5 °C;Low clouds.;15 km/h;140;6 km;00:05:00;00:14:00;Delay (5, 15] min.
2019-11-16;AirBaltic;AirBaltic;Ryga;PalangaPLQ;8 °C;Fog.;6 km/h;110;8 km;00:10:00;00:08:00;On Time [-5, 5] min.
2019-11-16;LOTPolishAirlines;LOTPolishAirlines;VarðuvaWAW;KaunasKUN;6 °C;Light rain. Fog.;11 km/h;110;8 km;00:45:00;00:32:00;Early [-15,-5) min.
2019-11-16;SAS;SAS;Kopenhaga;PalangaPLQ;8 °C;Fog.;6 km/h;110;8 km;00:55:00;01:21:00;Delay (15,30] min.
2019-11-16;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;5 °C;Low clouds.;15 km/h;140;6 km;01:05:00;01:01:00;On Time [-5, 5] min.
2019-11-16;WizzAir;WizzAir;DonkasterisDSA;VilniusVNO;5 °C;Low clouds.;13 km/h;140;7 km;02:10:00;01:59:00;Early [-15,-5) min.
2019-11-16;WizzAir;WizzAir;LondonasLTN;VilniusVNO;5 °C;Low clouds.;13 km/h;140;7 km;02:35:00;02:30:00;On Time [-5, 5] min.
2019-11-16;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;5 °C;Fog.;11 km/h;140;5 km;08:30:00;08:33:00;On Time [-5, 5] min.
2019-11-16;HOLIDAYEUROPE;HOLIDAYEUROPE;HurgadaHRG;VilniusVNO;5 °C;Fog.;11 km/h;140;5 km;08:40:00;08:51:00;Delay (5, 15] min.
2019-11-16;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;6 °C;Low clouds.;17 km/h;160;6 km;09:20:00;09:12:00;Early [-15,-5) min.
2019-11-16;Finnair;Finnair;HelsinkisHEL;VilniusVNO;6 °C;Low clouds.;17 km/h;160;6 km;09:30:00;09:12:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;FrankfurtasHHN;VilniusVNO;6 °C;Low clouds.;17 km/h;160;6 km;09:30:00;09:28:00;On Time [-5, 5] min.
2019-11-16;Norwegian;Norwegian;Bergenas;PalangaPLQ;7 °C;Fog.;9 km/h;140;7 km;09:55:00;09:55:00;On Time [-5, 5] min.
2019-11-16;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;6 °C;Fog.;19 km/h;170;5 km;10:05:00;09:46:00;Early (-inf, -15) min.
2019-11-16;WizzAir;WizzAir;Londonas(Lutonas)LTN;KaunasKUN;7 °C;Fog.;13 km/h;150;5 km;10:30:00;10:07:00;Early (-inf, -15) min.
2019-11-16;WizzAir;WizzAir;TurkuTKU;KaunasKUN;6 °C;Fog.;19 km/h;150;5 km;10:55:00;10:42:00;Early [-15,-5) min.
2019-11-16;Ryanair;Ryanair;OslasOSL;VilniusVNO;6 °C;Fog.;19 km/h;160;5 km;11:05:00;11:25:00;Delay (15,30] min.
2019-11-16;Ryanair;Ryanair;LondonasLTN;VilniusVNO;6 °C;Fog.;19 km/h;160;5 km;11:20:00;11:02:00;Early (-inf, -15) min.
2019-11-16;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;6 °C;Fog.;19 km/h;160;5 km;11:25:00;10:57:00;Early (-inf, -15) min.
2019-11-16;WizzAir;WizzAir;StavangerisSVG;KaunasKUN;7 °C;Fog.;13 km/h;140;5 km;11:25:00;11:10:00;Early [-15,-5) min.
2019-11-16;WizzAir;WizzAir;EindhovenasEIN;VilniusVNO;6 °C;Fog.;20 km/h;160;5 km;12:15:00;11:54:00;Early (-inf, -15) min.
2019-11-16;WizzAir;WizzAir;BilundasBLL;VilniusVNO;6 °C;Fog.;20 km/h;160;5 km;12:30:00;12:35:00;Delay (5, 15] min.
2019-11-16;AustrianAirlines;AustrianAirlines;VienaVIE;VilniusVNO;7 °C;Fog.;19 km/h;160;5 km;12:45:00;12:32:00;Early [-15,-5) min.
2019-11-16;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;7 °C;Fog.;19 km/h;160;5 km;13:00:00;12:46:00;Early [-15,-5) min.
2019-11-16;Finnair;Finnair;HelsinkisHEL;VilniusVNO;7 °C;Fog.;20 km/h;150;5 km;13:10:00;13:03:00;Early [-15,-5) min.
2019-11-16;AirBaltic;AirBaltic;AmsterdamasAMS;VilniusVNO;7 °C;Fog.;20 km/h;150;5 km;13:35:00;13:36:00;On Time [-5, 5] min.
2019-11-16;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;7 °C;Fog.;20 km/h;150;5 km;13:35:00;13:23:00;Early [-15,-5) min.
2019-11-16;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;7 °C;Fog.;20 km/h;160;5 km;14:15:00;14:13:00;On Time [-5, 5] min.
2019-11-16;Norwegian;Norwegian;Oslas;PalangaPLQ;8 °C;Low clouds.;9 km/h;140;12 km;14:20:00;14:47:00;Delay (15,30] min.
2019-11-16;Ryanair;Ryanair;KopenhagaCPH;KaunasKUN;8 °C;Low clouds.;11 km/h;150;8 km;14:20:00;14:32:00;Delay (5, 15] min.
2019-11-16;LOTPolishAirlines;LOT-PolishAirlines;LondonasLCY;VilniusVNO;7 °C;Fog.;20 km/h;160;5 km;14:30:00;13:54:00;Early (-inf, -15) min.
2019-11-16;AirBaltic;AirBaltic;Ryga;PalangaPLQ;8 °C;Low clouds.;9 km/h;140;12 km;14:45:00;14:42:00;On Time [-5, 5] min.
2019-11-16;WizzAir;WizzAir;TelAvivasTLV;VilniusVNO;7 °C;Low clouds.;20 km/h;160;6 km;15:10:00;14:51:00;Early (-inf, -15) min.
2019-11-16;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;7 °C;Low clouds.;20 km/h;160;6 km;15:25:00;15:28:00;On Time [-5, 5] min.
2019-11-16;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;7 °C;Low clouds.;19 km/h;160;6 km;15:40:00;15:32:00;Early [-15,-5) min.
2019-11-16;WizzAir;WizzAir;KijevasIEV;VilniusVNO;7 °C;Low clouds.;19 km/h;160;6 km;15:50:00;15:24:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;PafosPFO;KaunasKUN;8 °C;Overcast.;17 km/h;160;9 km;16:00:00;15:28:00;Early (-inf, -15) min.
2019-11-16;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;7 °C;Low clouds.;19 km/h;160;6 km;16:15:00;16:09:00;Early [-15,-5) min.
2019-11-16;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;7 °C;Low clouds.;19 km/h;160;6 km;16:15:00;16:06:00;Early [-15,-5) min.
2019-11-16;Ryanair;Ryanair;TelAvivasTLV;VilniusVNO;7 °C;Low clouds.;20 km/h;150;6 km;16:55:00;16:46:00;Early [-15,-5) min.
2019-11-16;Ryanair;Ryanair;BerlynasSXF;VilniusVNO;7 °C;Low clouds.;20 km/h;150;6 km;17:00:00;16:44:00;Early (-inf, -15) min.
2019-11-16;Belavia;Belavia;MinskasMSQ;VilniusVNO;7 °C;Low clouds.;22 km/h;160;6 km;17:10:00;17:07:00;On Time [-5, 5] min.
2019-11-16;WizzAir;WizzAir;Dortmundas;PalangaPLQ;9 °C;Fog.;9 km/h;140;9 km;17:15:00;16:58:00;Early (-inf, -15) min.
2019-11-16;null;null;MarsaAlamas;VilniusVNO;7 °C;Low clouds.;22 km/h;160;6 km;17:30:00;17:24:00;Early [-15,-5) min.
2019-11-16;GetJetAirlines;GetJetAirlines;HurgadaHRG;VilniusVNO;7 °C;Low clouds.;24 km/h;170;7 km;17:45:00;17:29:00;Early (-inf, -15) min.
2019-11-16;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;7 °C;Low clouds.;24 km/h;170;7 km;17:50:00;17:27:00;Early (-inf, -15) min.
2019-11-16;GetJetAirlines;GetJetAirlines;HurgadaHRG;VilniusVNO;7 °C;Low clouds.;24 km/h;170;7 km;18:00:00;18:04:00;On Time [-5, 5] min.
2019-11-16;Finnair;Finnair;HelsinkisHEL;VilniusVNO;7 °C;Low clouds.;24 km/h;170;7 km;18:05:00;20:51:00;Delay (30, inf) min.
2019-11-16;Ryanair;Ryanair;Londonas/Stanstedas;PalangaPLQ;9 °C;Fog.;9 km/h;140;9 km;18:05:00;17:43:00;Early (-inf, -15) min.
2019-11-16;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;7 °C;Low clouds.;20 km/h;160;7 km;18:20:00;18:02:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;SautendasSEN;VilniusVNO;7 °C;Low clouds.;26 km/h;170;7 km;18:40:00;18:24:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;AlikantëALC;KaunasKUN;9 °C;Overcast.;19 km/h;150;N/A;19:10:00;18:38:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;RomaCIA;VilniusVNO;7 °C;Low clouds.;26 km/h;170;8 km;19:10:00;18:34:00;Early (-inf, -15) min.
2019-11-16;WizzAir;WizzAir;MilanasMXP;VilniusVNO;7 °C;Low clouds.;26 km/h;170;8 km;19:15:00;19:06:00;Early [-15,-5) min.
2019-11-16;WizzAir;WizzAir;Londonas/Lutonas;PalangaPLQ;9 °C;Fog.;9 km/h;140;9 km;20:05:00;20:06:00;On Time [-5, 5] min.
2019-11-16;AirBaltic;AirBaltic;Ryga;PalangaPLQ;9 °C;Fog.;9 km/h;140;9 km;20:30:00;20:22:00;Early [-15,-5) min.
2019-11-16;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;7 °C;Low clouds.;30 km/h;170;N/A;20:35:00;20:18:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;DublinasDUB;VilniusVNO;7 °C;Low clouds.;26 km/h;170;N/A;20:50:00;20:35:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;MilanasBergamo;VilniusVNO;7 °C;Low clouds.;24 km/h;160;N/A;21:25:00;20:58:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;BarselonaBCN;VilniusVNO;7 °C;Low clouds.;28 km/h;160;N/A;21:45:00;21:18:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;EdinburgasEDI;KaunasKUN;9 °C;Mostly cloudy.;15 km/h;150;N/A;22:00:00;21:39:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;MilanasMXP;KaunasKUN;9 °C;Mostly cloudy.;17 km/h;150;N/A;23:05:00;22:33:00;Early (-inf, -15) min.
2019-11-16;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;8 °C;Low clouds.;19 km/h;170;N/A;23:35:00;23:17:00;Early (-inf, -15) min.
2019-11-16;Ryanair;Ryanair;ParyþiusBVA;VilniusVNO;8 °C;Low clouds.;19 km/h;170;N/A;23:40:00;23:30:00;Early [-15,-5) min.
2019-11-17;WizzAir;WizzAir;BarselonaBCN;VilniusVNO;8 °C;Low clouds.;22 km/h;170;N/A;00:35:00;00:00:00;Early (-inf, -15) min.
2019-11-17;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;8 °C;Low clouds.;22 km/h;170;9 km;00:45:00;00:40:00;On Time [-5, 5] min.
2019-11-17;WizzAir;WizzAir;EilatasETM;VilniusVNO;8 °C;Low clouds.;20 km/h;170;N/A;01:40:00;01:53:00;Delay (5, 15] min.
2019-11-17;Belavia;Belavia;MinskasMSQ;VilniusVNO;7 °C;Fog.;9 km/h;180;3 km;07:55:00;07:57:00;On Time [-5, 5] min.
2019-11-17;HOLIDAYEUROPE;HOLIDAYEUROPE;ÐarmelÐeichasSSH;VilniusVNO;7 °C;Fog.;11 km/h;170;2 km;08:35:00;08:21:00;Early [-15,-5) min.
2019-11-17;NorvegianAirShuttle;NorvegianAirShuttle;OslasOSL;VilniusVNO;7 °C;Fog.;11 km/h;160;2 km;09:20:00;09:23:00;On Time [-5, 5] min.
2019-11-17;Norwegian;Norwegian;Oslas;PalangaPLQ;8 °C;Overcast.;4 km/h;210;20 km;09:25:00;09:32:00;Delay (5, 15] min.
2019-11-17;Finnair;Finnair;HelsinkisHEL;VilniusVNO;7 °C;Fog.;11 km/h;160;2 km;09:30:00;09:35:00;Delay (5, 15] min.
2019-11-17;NorvegianAirShuttle;NorvegianAirShuttle;StokholmasARN;VilniusVNO;7 °C;Fog.;9 km/h;170;2 km;09:40:00;09:42:00;On Time [-5, 5] min.
2019-11-17;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;8 °C;Fog.;11 km/h;170;2 km;10:05:00;10:00:00;On Time [-5, 5] min.
2019-11-17;Ryanair;Ryanair;OslasOSL;VilniusVNO;8 °C;Fog.;11 km/h;180;3 km;11:05:00;11:07:00;On Time [-5, 5] min.
2019-11-17;Ryanair;Ryanair;CharkovasHRK;VilniusVNO;8 °C;Fog.;11 km/h;180;3 km;11:15:00;12:04:00;Delay (30, inf) min.
2019-11-17;Ryanair;Ryanair;LiverpulisLPL;VilniusVNO;8 °C;Fog.;11 km/h;180;3 km;11:30:00;11:13:00;Early (-inf, -15) min.
2019-11-17;Ryanair;Ryanair;DublinasDUB;KaunasKUN;7 °C;Fog.;11 km/h;120;1 km;11:35:00;11:36:00;On Time [-5, 5] min.
2019-11-17;Ryanair;Ryanair;KopenhagaCPH;KaunasKUN;7 °C;Fog.;7 km/h;130;0 km;11:40:00;11:27:00;Early [-15,-5) min.
2019-11-17;Ryanair;Ryanair;LondonasLTN;VilniusVNO;8 °C;Fog.;9 km/h;150;4 km;11:45:00;11:35:00;Early [-15,-5) min.
2019-11-17;BrusselsAirlines;BrusselsAirlines;BriuselisBRU;VilniusVNO;8 °C;Fog.;9 km/h;150;4 km;12:15:00;11:56:00;Early (-inf, -15) min.
2019-11-17;WizzAir;WizzAir;NicaNCE;VilniusVNO;8 °C;Fog.;9 km/h;150;4 km;12:35:00;12:23:00;Early [-15,-5) min.
2019-11-17;AustrianAirlines;AustrianAirlines;VienaVIE;VilniusVNO;8 °C;Fog.;9 km/h;170;5 km;12:45:00;12:20:00;Early (-inf, -15) min.
2019-11-17;Ryanair;Ryanair;Londonas(Stanstedas)STN;KaunasKUN;7 °C;Fog.;7 km/h;120;1 km;12:50:00;12:34:00;Early (-inf, -15) min.
2019-11-17;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;8 °C;Fog.;9 km/h;170;5 km;13:00:00;12:49:00;Early [-15,-5) min.
2019-11-17;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;8 °C;Fog.;9 km/h;170;5 km;13:05:00;12:57:00;Early [-15,-5) min.
2019-11-17;Finnair;Finnair;HelsinkisHEL;VilniusVNO;8 °C;Fog.;13 km/h;140;5 km;13:10:00;14:54:00;Delay (30, inf) min.
2019-11-17;WizzAir;WizzAir;BelfastasBFS;VilniusVNO;8 °C;Fog.;13 km/h;140;5 km;13:15:00;13:04:00;Early [-15,-5) min.
2019-11-17;AirBaltic;AirBaltic;AmsterdamasAMS;VilniusVNO;8 °C;Fog.;13 km/h;140;5 km;13:35:00;13:29:00;Early [-15,-5) min.
2019-11-17;WizzAir;WizzAir;KutaisisKUT;VilniusVNO;8 °C;Fog.;13 km/h;140;5 km;13:55:00;13:17:00;Early (-inf, -15) min.
2019-11-17;Lufthansa;Lufthansa;FrankfurtasFRA;VilniusVNO;9 °C;Low clouds.;11 km/h;140;6 km;14:20:00;14:04:00;Early (-inf, -15) min.
2019-11-17;Ryanair;Ryanair;BriuselisCRL;VilniusVNO;9 °C;Low clouds.;11 km/h;140;6 km;14:25:00;13:57:00;Early (-inf, -15) min.
2019-11-17;AirBaltic;AirBaltic;Ryga;PalangaPLQ;10 °C;Overcast.;2 km/h;70;20 km;14:45:00;14:35:00;Early [-15,-5) min.
2019-11-17;Ryanair;Ryanair;KijevasKBP;VilniusVNO;9 °C;Low clouds.;11 km/h;130;6 km;15:15:00;14:41:00;Early (-inf, -15) min.
2019-11-17;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;9 °C;Low clouds.;11 km/h;130;6 km;15:15:00;14:58:00;Early (-inf, -15) min.
2019-11-17;SAS;SAS;Kopenhaga;PalangaPLQ;10 °C;Overcast.;2 km/h;70;20 km;15:25:00;15:18:00;Early [-15,-5) min.
2019-11-17;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;9 °C;Low clouds.;11 km/h;130;6 km;15:25:00;15:11:00;Early [-15,-5) min.
2019-11-17;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;9 °C;Low clouds.;11 km/h;130;6 km;16:15:00;16:14:00;On Time [-5, 5] min.
2019-11-17;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;9 °C;Low clouds.;11 km/h;140;7 km;16:15:00;16:04:00;Early [-15,-5) min.
2019-11-17;Ryanair;Ryanair;TrevizasTSF;VilniusVNO;9 °C;Low clouds.;13 km/h;150;7 km;16:45:00;17:28:00;Delay (30, inf) min.
2019-11-17;GetJetAirlines;GetJetAirlines;ÐarmelÐeichasSSH;VilniusVNO;9 °C;Low clouds.;13 km/h;140;7 km;17:40:00;17:02:00;Early (-inf, -15) min.
2019-11-17;TurkishAirlines;TurkishAirlines;StambulasIST;VilniusVNO;9 °C;Low clouds.;13 km/h;140;7 km;17:50:00;17:25:00;Early (-inf, -15) min.
2019-11-17;GetJetAirlines;GetJetAirlines;ÐarmelÐeichasSSH;VilniusVNO;9 °C;Low clouds.;13 km/h;140;7 km;17:55:00;17:17:00;Early (-inf, -15) min.
2019-11-17;Finnair;Finnair;HelsinkisHEL;VilniusVNO;9 °C;Low clouds.;13 km/h;140;7 km;18:05:00;18:11:00;Delay (5, 15] min.
2019-11-17;Ryanair;Ryanair;NiurnbergasNUE;KaunasKUN;9 °C;Low clouds.;9 km/h;130;7 km;18:10:00;18:00:00;Early [-15,-5) min.
2019-11-17;LOTPolishAirlines;LOT-PolishAirlines;VarðuvaWAW;VilniusVNO;9 °C;Low clouds.;15 km/h;140;8 km;18:20:00;18:14:00;Early [-15,-5) min.
2019-11-17;Ryanair;Ryanair;Londonas(Lutonas)LTN;KaunasKUN;9 °C;Low clouds.;17 km/h;140;7 km;19:05:00;18:45:00;Early (-inf, -15) min.
2019-11-17;Belavia;Belavia;MinskasMSQ;VilniusVNO;9 °C;Low clouds.;19 km/h;150;N/A;19:10:00;18:55:00;Early (-inf, -15) min.
2019-11-17;AirBaltic;AirBaltic;RygaRIX;VilniusVNO;9 °C;Low clouds.;19 km/h;150;N/A;19:10:00;19:01:00;Early [-15,-5) min.
2019-11-17;WizzAir;WizzAir;ParyþiusBVA;VilniusVNO;9 °C;Low clouds.;19 km/h;150;N/A;19:25:00;19:12:00;Early [-15,-5) min.
2019-11-17;WizzAir;WizzAir;OslasTRF;VilniusVNO;9 °C;Low clouds.;19 km/h;150;N/A;19:25:00;19:21:00;On Time [-5, 5] min.
2019-11-17;ScandinavianAirlines;ScandinavianAirlines;StokholmasARN;VilniusVNO;8 °C;Low clouds.;22 km/h;160;N/A;19:50:00;19:42:00;Early [-15,-5) min.
2019-11-17;Ryanair;Ryanair;BrëmenasBRE;VilniusVNO;8 °C;Low clouds.;22 km/h;160;N/A;19:55:00;19:25:00;Early (-inf, -15) min.
2019-11-17;AirBaltic;AirBaltic;ParyþiusCDG;VilniusVNO;8 °C;Low clouds.;22 km/h;170;9 km;20:25:00;20:42:00;Delay (15,30] min.
2019-11-17;AirBaltic;AirBaltic;TalinasTLL;VilniusVNO;8 °C;Low clouds.;17 km/h;160;8 km;20:55:00;20:50:00;On Time [-5, 5] min.
2019-11-17;UkraineInternationalAirlines;UkraineInternationalAirlines;KijevasKBP;VilniusVNO;8 °C;Low clouds.;17 km/h;160;8 km;20:55:00;21:00:00;On Time [-5, 5] min.
2019-11-17;Ryanair;Ryanair;MilanasBergamo;VilniusVNO;8 °C;Low clouds.;13 km/h;140;9 km;21:30:00;21:31:00;On Time [-5, 5] min.
2019-11-17;Aeroflot;Aeroflot;MaskvaSVO;VilniusVNO;8 °C;Overcast.;11 km/h;110;N/A;22:25:00;21:50:00;Early (-inf, -15) min.
2019-11-17;Ryanair;Ryanair;EilatasETM;KaunasKUN;9 °C;Overcast.;13 km/h;110;N/A;22:55:00;22:16:00;Early (-inf, -15) min.
2019-11-17;ScandinavianAirlines;ScandinavianAirlines;KopenhagaCPH;VilniusVNO;9 °C;Overcast.;15 km/h;110;N/A;23:30:00;23:32:00;On Time [-5, 5] min.
2019-11-17;Ryanair;Ryanair;LondonasSTN;VilniusVNO;9 °C;Overcast.;15 km/h;110;N/A;23:35:00;23:55:00;Delay (15,30] min.
2019-11-17;ScandinavianAirlines;ScandinavianAirlines;StokholmasARN;VilniusVNO;9 °C;Overcast.;15 km/h;110;N/A;23:35:00;23:27:00;Early [-15,-5) min.
