DATE;COMPANY;COMPANY;TO;FROM;TEMPERATURE;SKY INFORMATION;WIND SPEED;WIND ANGLE;VISIBILITY;SCHEDULED TIME;DEPARTURE TIME;CLASS
2019-10-25;LOTPolishAirlines;LOT...PolishAirlines;VilniusVNO;VarðuvaWAW;11 °C;Fog.;15 km/h;240;3 km;19:00:00;19:00:00;On Time [-5, 5] min.
2019-10-25;Aeroflot;Aeroflot;VilniusVNO;MaskvaSVO;11 °C;Fog.;15 km/h;240;3 km;19:00:00;19:00:00;On Time [-5, 5] min.
2019-10-25;WizzAir;WizzAir;VilniusVNO;BilundasBLL;11 °C;Fog.;15 km/h;240;3 km;19:00:00;19:00:00;On Time [-5, 5] min.
2019-10-25;LOTPolishAirlines;LOT...PolishAirlines;VilniusVNO;TalinasTLL;11 °C;Fog.;13 km/h;240;3 km;19:15:00;19:15:00;On Time [-5, 5] min.
2019-10-25;AirBaltic;AirBaltic;VilniusVNO;TalinasTLL;11 °C;Fog.;9 km/h;240;3 km;19:30:00;19:30:00;On Time [-5, 5] min.
2019-10-25;Ryanair;Ryanair;VilniusVNO;MadridasMAD;11 °C;Fog.;9 km/h;240;3 km;19:35:00;19:35:00;On Time [-5, 5] min.
2019-10-25;WizzAir;WizzAir;VilniusVNO;LondonasLTN;11 °C;Fog.;9 km/h;240;3 km;20:00:00;20:00:00;On Time [-5, 5] min.
2019-10-25;WizzAir;WizzAir;VilniusVNO;DonkasterisDSA;11 °C;Fog.;9 km/h;240;3 km;20:00:00;20:00:00;On Time [-5, 5] min.
2019-10-25;TurkishAirlines;TurkishAirlines;VilniusVNO;StambulasIST;11 °C;Fog.;9 km/h;240;3 km;20:05:00;20:05:00;On Time [-5, 5] min.
2019-10-25;Belavia;Belavia;VilniusVNO;MinskasMSQ;11 °C;Fog.;13 km/h;220;3 km;20:40:00;20:40:00;On Time [-5, 5] min.
2019-10-25;AirBaltic;AirBaltic;VilniusVNO;RygaRIX;11 °C;Fog.;13 km/h;220;3 km;21:10:00;21:36:00;Delay (15,30] min.
2019-10-25;Ryanair;Ryanair;VilniusVNO;MilanasBergamo;11 °C;Fog.;13 km/h;220;3 km;21:15:00;21:15:00;On Time [-5, 5] min.
2019-10-25;FreebirdAirlines;FreebirdAirlines;VilniusVNO;AntalijaAYT;11 °C;Fog.;13 km/h;220;3 km;21:20:00;21:20:00;On Time [-5, 5] min.
